Date,Avg.temp.C,Daylength.Hr
2023-01-11,-7.2,7.88
2023-01-12,-12.6,7.92
2023-01-13,-13.1,7.96
2023-01-14,-10.7,8
2023-01-15,-8.8,8.05
2023-01-16,-5.4,8.09
2023-01-17,-8.8,8.14
2023-01-18,-13.4,8.18
2023-01-19,-10.6,8.23
2023-01-20,-4.1,8.28
2023-01-21,0.4,8.33
2023-01-22,0.5,8.38
2023-01-23,-2.8,8.44
2023-01-24,-0.1,8.49
2023-01-25,-0.7,8.55
2023-01-26,4.7,8.6
2023-01-27,-6.7,8.66
2023-01-28,-16.8,8.72
2023-01-29,-17.1,8.78
2023-01-30,-11.7,8.83
2023-01-31,-10.3,8.89
2023-02-01,-15.5,8.96
2023-02-02,-16.9,9.02
2023-02-03,-6.3,9.08
2023-02-04,-1.8,9.14
2023-02-05,-2,9.2
2023-02-06,-0.7,9.27
2023-02-07,0.5,9.33
2023-02-08,-3.2,9.4
2023-02-09,-6.1,9.46
2023-02-10,-1.9,9.53
2023-02-11,-2.9,9.59
2023-02-12,-2.6,9.66
2023-02-13,0,9.73
2023-02-14,-10,9.79
2023-02-15,-8.2,9.86
2023-02-16,-2.6,9.93
2023-02-17,-3.2,10
2023-02-18,-4.9,10.07
2023-02-19,-4.6,10.13
2023-02-20,-10.2,10.2
2023-02-21,-18.4,10.27
2023-02-22,-25.1,10.34
2023-02-23,-25.3,10.41
2023-02-24,-26.8,10.48
2023-02-25,-14.4,10.55
2023-02-26,-13.2,10.62
2023-02-27,-10.9,10.69
2023-02-28,-13.7,10.76
