CatchRingNumber,ThermalTransponderDecCode,ThermalHexCode,TransponderHexCode,SexConclusion
2960-72797,985141004209941,3D920D4817F15,01103FDE3D,Male
2960-72717,985141004209942,3D920D4817F16,3B00181ADD,Male
2960-72793,985141004209943,3D920D4817F17,01103FDE7E,Male
2960-72711,985141004209945,3D920D4817F19,01103F74E6,Male
2960-72719,985141004209946,3D920D4817F1A,3B00187F30,Male
2960-72794,985141004209947,3D920D4817F1B,3B00484A9C,Male
2960-72713,985141004209949,3D920D4817F1D,3B004B37AA,Male
2920-20320,985141004209950,3D920D4817F1E,01103FE5E9,Male
2960-72807,985141004209951,3D920D4817F1F,3B00188257,Male
2960-72802,985141004209952,3D920D4817F20,01103FDBAA,Male
2960-72716,985141004209953,3D920D4817F21,3B0018E766,
2960-72815,985141004209954,3D920D4817F22,3B00193DBF,Female
2960-72801,985141004209955,3D920D4817F23,3B00192711,
2960-72806,985141004209956,3D920D4817F24,3B0018B69E,Male
2960-72804,985141004209958,3D920D4817F26,3B00192056,Female
2960-72796,985141004209959,3D920D4817F27,01103FE69C,Male
2960-72808,985141004209960,3D920D4817F28,01103FDA75,Female
2960-72809,985141004209970,3D920D4817F32,01103F7A60,Female
2960-72810,985141004205168,3D920D4816C70,3B00185F61,Male
2960-72803,985141004205163,3D920D4816C6B,01103FE3A4,Male
2920-20331,985141006562645,3D920D4A56555,01103FB6D8,Female
2960-72805,985141006563103,3D920D4A5671F,01103FAF41,Male
2960-72813,985141006562704,3D920D4A56590,3B00192F5E,Female
2960-72812,985141006562938,3D920D4A5667A,01103FDACA,Male
2960-72816,985141006562890,3D920D4A5664A,3B0018180D,Female
